Grains | Cretaceous | TimSub | The age of this deep water Grains is considered to be Cretaceous
Sparstone | Fibrous | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Fibrous
Sparstone | Botryoidal | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Botryoidal
Sparstone | Radiaxial | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Radiaxial
Sparstone | Bladed | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Bladed
Sparstone | Dripstone | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Dripstone
Sparstone | Meniscus | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Meniscus
Sparstone | Drusy | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Drusy
Sparstone | Granular | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Granular
Sparstone | Blocky | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Blocky
Sparstone | Syntaxial | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Syntaxial
Sparstone | Peloidal | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Peloidal
Sparstone | Microcrystalline | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Microcrystalline
Sparstone | Micrite | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Micrite
Sparstone | Cement | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Cement
Sparstone | Calcite | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Calcite
Sparstone | Dolomite | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Dolomite
Sparstone | Aragonite | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Aragonite
Sparstone | Dolomite | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Dolomite
Sparstone | Nonplanar | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Nonplanar
Sparstone | Planar | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Planar
Sparstone | Crystalline | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Crystalline
Sparstone | Crystallization | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Crystallization
Sparstone | Euhedral | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Euhedral
Sparstone | Subhedral | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Subhedral
Sparstone | Anhedral | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Anhedral
Sparstone | Crystal | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Crystal
Sparstone | Crystalline | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Crystalline
Sparstone | Aphanocrystalline | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Aphanocrystalline
Sparstone | Crystallization | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Crystallization
Sparstone | Equigranular | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Equigranular
Sparstone | Inequigranular | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Inequigranular
Sparstone | Porphyrotopic | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Porphyrotopic
Sparstone | Poikilotopic | property | Sparstone proprium Metoicoceras gesliniamim Ammonite Poikilotopic
Cementstone | Cement | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Cement
Cementstone | Acicular | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Acicular
Cementstone | Fibrous | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Fibrous
Cementstone | Botryoidal | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Botryoidal
Cementstone | Radiaxial | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Radiaxial
Cementstone | Bladed | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Bladed
Cementstone | Dripstone | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Dripstone
Cementstone | Meniscus | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Meniscus
Cementstone | Drusy | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Drusy
Cementstone | Granular | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Granular
Cementstone | Blocky | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Blocky
Cementstone | Syntaxial | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Syntaxial
Cementstone | Peloidal | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Peloidal
Cementstone | Microcrystalline | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Microcrystalline
Cementstone | Micrite | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Micrite
Cementstone | Cement | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Cement
Cementstone | Calcite | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Calcite
Cementstone | Dolomite | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Dolomite
Cementstone | Aragonite | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Aragonite
Cementstone | Dolomite | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Dolomite
Cementstone | Nonplanar | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Nonplanar
Cementstone | Planar | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Planar
Cementstone | Crystalline | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Crystalline
Cementstone | Crystallization | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Crystallization
Cementstone | Euhedral | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Euhedral
Cementstone | Subhedral | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Subhedral
Cementstone | Anhedral | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Anhedral
Cementstone | Crystal | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Crystal
Cementstone | Crystalline | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Crystalline
Cementstone | Aphanocrystalline | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Aphanocrystalline
Cementstone | Crystallization | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Crystallization
Cementstone | Equigranular | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Equigranular
Cementstone | Inequigranular | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Inequigranular
Cementstone | Porphyrotopic | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Porphyrotopic
Cementstone | Poikilotopic | property | Cementstone proprium Metoicoceras gesliniamim Ammonite Poikilotopic
Dolomite | Cement | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Cement
Dolomite | Acicular | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Acicular
Dolomite | Fibrous | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Fibrous
Dolomite | Botryoidal | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Botryoidal
Dolomite | Radiaxial | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Radiaxial
Dolomite | Bladed | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Bladed
Dolomite | Dripstone | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Dripstone
Dolomite | Meniscus | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Meniscus
Dolomite | Drusy | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Drusy
Dolomite | Granular | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Granular
Dolomite | Blocky | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Blocky
Dolomite | Syntaxial | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Syntaxial
Dolomite | Peloidal | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Peloidal
Dolomite | Microcrystalline | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Microcrystalline
Dolomite | Micrite | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Micrite
Dolomite | Cement | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Cement
Dolomite | Calcite | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Calcite
Dolomite | Dolomite | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Dolomite
Dolomite | Aragonite | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Aragonite
Dolomite | Dolomite | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Dolomite
Dolomite | Nonplanar | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Nonplanar
Dolomite | Planar | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Planar
Dolomite | Crystalline | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Crystalline
Dolomite | Crystallization | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Crystallization
Dolomite | Euhedral | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Euhedral
Dolomite | Subhedral | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Subhedral
Dolomite | Anhedral | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Anhedral
Dolomite | Crystal | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Crystal
Dolomite | Crystalline | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Crystalline
Dolomite | Aphanocrystalline | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Aphanocrystalline
Dolomite | Crystallization | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Crystallization
Dolomite | Equigranular | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Equigranular
Dolomite | Inequigranular | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Inequigranular
Dolomite | Porphyrotopic | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Porphyrotopic
Dolomite | Poikilotopic | property | Dolomite proprium Metoicoceras gesliniamim Ammonite Poikilotopic
Biolithite | Cement | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Cement
Biolithite | Acicular | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Acicular
Biolithite | Fibrous | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Fibrous
Biolithite | Botryoidal | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Botryoidal
Biolithite | Radiaxial | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Radiaxial
Biolithite | Bladed | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Bladed
Biolithite | Dripstone | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Dripstone
Biolithite | Meniscus | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Meniscus
Biolithite | Drusy | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Drusy
Biolithite | Granular | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Granular
Biolithite | Blocky | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Blocky
Biolithite | Syntaxial | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Syntaxial
Biolithite | Peloidal | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Peloidal
Biolithite | Microcrystalline | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Microcrystalline
Biolithite | Micrite | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Micrite
Biolithite | Cement | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Cement
Biolithite | Calcite | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Calcite
Biolithite | Dolomite | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Dolomite
Biolithite | Aragonite | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Aragonite
Biolithite | Dolomite | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Dolomite
Biolithite | Nonplanar | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Nonplanar
Biolithite | Planar | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Planar
Biolithite | Crystalline | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Crystalline
Biolithite | Crystallization | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Crystallization
Biolithite | Euhedral | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Euhedral
Biolithite | Subhedral | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Subhedral
Biolithite | Anhedral | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Anhedral
Biolithite | Crystal | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Crystal
Biolithite | Crystalline | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Crystalline
Biolithite | Aphanocrystalline | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Aphanocrystalline
Biolithite | Crystallization | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Crystallization
Biolithite | Equigranular | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Equigranular
Biolithite | Inequigranular | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Inequigranular
Biolithite | Porphyrotopic | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Porphyrotopic
Biolithite | Poikilotopic | property | Biolithite proprium Metoicoceras gesliniamim Ammonite Poikilotopic
Microcrystalline | Cement | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Cement
Microcrystalline | Acicular | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Acicular
Microcrystalline | Fibrous | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Fibrous
Microcrystalline | Botryoidal | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Botryoidal
Microcrystalline | Radiaxial | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Radiaxial
Microcrystalline | Bladed | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Bladed
Microcrystalline | Dripstone | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Dripstone
Microcrystalline | Meniscus | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Meniscus
Microcrystalline | Drusy | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Drusy
Microcrystalline | Granular | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Granular
Microcrystalline | Blocky | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Blocky
Microcrystalline | Syntaxial | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Syntaxial
Microcrystalline | Peloidal | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Peloidal
Microcrystalline | Microcrystalline | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Microcrystalline
Microcrystalline | Micrite | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Micrite
Microcrystalline | Cement | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Cement
Microcrystalline | Calcite | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Calcite
Microcrystalline | Dolomite | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Dolomite
Microcrystalline | Aragonite | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Aragonite
Microcrystalline | Dolomite | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Dolomite
Microcrystalline | Nonplanar | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Nonplanar
Microcrystalline | Planar | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Planar
Microcrystalline | Crystalline | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Crystalline
Microcrystalline | Crystallization | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Crystallization
Microcrystalline | Euhedral | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Euhedral
Microcrystalline | Subhedral | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Subhedral
Microcrystalline | Anhedral | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Anhedral
Microcrystalline | Crystal | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Crystal
Microcrystalline | Crystalline | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Crystalline
Microcrystalline | Aphanocrystalline | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Aphanocrystalline
Microcrystalline | Crystallization | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Crystallization
Microcrystalline | Equigranular | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Equigranular
Microcrystalline | Inequigranular | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Inequigranular
Microcrystalline | Porphyrotopic | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Porphyrotopic
Microcrystalline | Poikilotopic | property | Microcrystalline proprium Metoicoceras gesliniamim Ammonite Poikilotopic
Micrite | Cement | property | Micrite proprium Metoicoceras gesliniamim Ammonite Cement
Micrite | Acicular | property | Micrite proprium Metoicoceras gesliniamim Ammonite Acicular
Micrite | Fibrous | property | Micrite proprium Metoicoceras gesliniamim Ammonite Fibrous
Micrite | Botryoidal | property | Micrite proprium Metoicoceras gesliniamim Ammonite Botryoidal
Micrite | Radiaxial | property | Micrite proprium Metoicoceras gesliniamim Ammonite Radiaxial
Micrite | Bladed | property | Micrite proprium Metoicoceras gesliniamim Ammonite Bladed
Micrite | Dripstone | property | Micrite proprium Metoicoceras gesliniamim Ammonite Dripstone
Micrite | Meniscus | property | Micrite proprium Metoicoceras gesliniamim Ammonite Meniscus
Micrite | Drusy | property | Micrite proprium Metoicoceras gesliniamim Ammonite Drusy
Micrite | Granular | property | Micrite proprium Metoicoceras gesliniamim Ammonite Granular
Micrite | Blocky | property | Micrite proprium Metoicoceras gesliniamim Ammonite Blocky
Micrite | Syntaxial | property | Micrite proprium Metoicoceras gesliniamim Ammonite Syntaxial
Micrite | Peloidal | property | Micrite proprium Metoicoceras gesliniamim Ammonite Peloidal
Micrite | Microcrystalline | property | Micrite proprium Metoicoceras gesliniamim Ammonite Microcrystalline
Micrite | Micrite | property | Micrite proprium Metoicoceras gesliniamim Ammonite Micrite
Micrite | Cement | property | Micrite proprium Metoicoceras gesliniamim Ammonite Cement
Micrite | Calcite | property | Micrite proprium Metoicoceras gesliniamim Ammonite Calcite
Micrite | Dolomite | property | Micrite proprium Metoicoceras gesliniamim Ammonite Dolomite
Micrite | Aragonite | property | Micrite proprium Metoicoceras gesliniamim Ammonite Aragonite
Micrite | Dolomite | property | Micrite proprium Metoicoceras gesliniamim Ammonite Dolomite
Micrite | Nonplanar | property | Micrite proprium Metoicoceras gesliniamim Ammonite Nonplanar
Micrite | Planar | property | Micrite proprium Metoicoceras gesliniamim Ammonite Planar
Micrite | Crystalline | property | Micrite proprium Metoicoceras gesliniamim Ammonite Crystalline
Micrite | Crystallization | property | Micrite proprium Metoicoceras gesliniamim Ammonite Crystallization
Micrite | Euhedral | property | Micrite proprium Metoicoceras gesliniamim Ammonite Euhedral
Micrite | Subhedral | property | Micrite proprium Metoicoceras gesliniamim Ammonite Subhedral
Micrite | Anhedral | property | Micrite proprium Metoicoceras gesliniamim Ammonite Anhedral
Micrite | Crystal | property | Micrite proprium Metoicoceras gesliniamim Ammonite Crystal
Micrite | Crystalline | property | Micrite proprium Metoicoceras gesliniamim Ammonite Crystalline
Micrite | Aphanocrystalline | property | Micrite proprium Metoicoceras gesliniamim Ammonite Aphanocrystalline
Micrite | Crystallization | property | Micrite proprium Metoicoceras gesliniamim Ammonite Crystallization
Micrite | Equigranular | property | Micrite proprium Metoicoceras gesliniamim Ammonite Equigranular
Micrite | Inequigranular | property | Micrite proprium Metoicoceras gesliniamim Ammonite Inequigranular
Micrite | Porphyrotopic | property | Micrite proprium Metoicoceras gesliniamim Ammonite Porphyrotopic
Micrite | Poikilotopic | property | Micrite proprium Metoicoceras gesliniamim Ammonite Poikilotopic
Dismicrite | Cement | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Cement
Dismicrite | Acicular | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Acicular
Dismicrite | Fibrous | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Fibrous
Dismicrite | Botryoidal | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Botryoidal
Dismicrite | Radiaxial | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Radiaxial
Dismicrite | Bladed | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Bladed
Dismicrite | Dripstone | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Dripstone
Dismicrite | Meniscus | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Meniscus
Dismicrite | Drusy | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Drusy
Dismicrite | Granular | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Granular
Dismicrite | Blocky | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Blocky
Dismicrite | Syntaxial | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Syntaxial
Dismicrite | Peloidal | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Peloidal
Dismicrite | Microcrystalline | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Microcrystalline
Dismicrite | Micrite | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Micrite
Dismicrite | Cement | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Cement
Dismicrite | Calcite | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Calcite
Dismicrite | Dolomite | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Dolomite
Dismicrite | Aragonite | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Aragonite
Dismicrite | Dolomite | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Dolomite
Dismicrite | Nonplanar | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Nonplanar
Dismicrite | Planar | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Planar
Dismicrite | Crystalline | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Crystalline
Dismicrite | Crystallization | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Crystallization
Dismicrite | Euhedral | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Euhedral
Dismicrite | Subhedral | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Subhedral
Dismicrite | Anhedral | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Anhedral
Dismicrite | Crystal | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Crystal
Dismicrite | Crystalline | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Crystalline
Dismicrite | Aphanocrystalline | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Aphanocrystalline
Dismicrite | Crystallization | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Crystallization
Dismicrite | Equigranular | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Equigranular
Dismicrite | Inequigranular | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Inequigranular
Dismicrite | Porphyrotopic | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Porphyrotopic
Dismicrite | Poikilotopic | property | Dismicrite proprium Metoicoceras gesliniamim Ammonite Poikilotopic
Sparrudite | Cement | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Cement
Sparrudite | Acicular | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Acicular
Sparrudite | Fibrous | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Fibrous
Sparrudite | Botryoidal | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Botryoidal
Sparrudite | Radiaxial | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Radiaxial
Sparrudite | Bladed | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Bladed
Sparrudite | Dripstone | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Dripstone
Sparrudite | Meniscus | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Meniscus
Sparrudite | Drusy | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Drusy
Sparrudite | Granular | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Granular
Sparrudite | Blocky | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Blocky
Sparrudite | Syntaxial | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Syntaxial
Sparrudite | Peloidal | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Peloidal
Sparrudite | Microcrystalline | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Microcrystalline
Sparrudite | Micrite | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Micrite
Sparrudite | Cement | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Cement
Sparrudite | Calcite | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Calcite
Sparrudite | Dolomite | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Dolomite
Sparrudite | Aragonite | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Aragonite
Sparrudite | Dolomite | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Dolomite
Sparrudite | Nonplanar | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Nonplanar
Sparrudite | Planar | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Planar
Sparrudite | Crystalline | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Crystalline
Sparrudite | Crystallization | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Crystallization
Sparrudite | Euhedral | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Euhedral
Sparrudite | Subhedral | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Subhedral
Sparrudite | Anhedral | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Anhedral
Sparrudite | Crystal | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Crystal
Sparrudite | Crystalline | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Crystalline
Sparrudite | Aphanocrystalline | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Aphanocrystalline
Sparrudite | Crystallization | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Crystallization
Sparrudite | Equigranular | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Equigranular
Sparrudite | Inequigranular | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Inequigranular
Sparrudite | Porphyrotopic | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Porphyrotopic
Sparrudite | Poikilotopic | property | Sparrudite proprium Metoicoceras gesliniamim Ammonite Poikilotopic
Intrasparrudite | Cement | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Cement
Intrasparrudite | Acicular | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Acicular
Intrasparrudite | Fibrous | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Fibrous
Intrasparrudite | Botryoidal | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Botryoidal
Intrasparrudite | Radiaxial | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Radiaxial
Intrasparrudite | Bladed | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Bladed
Intrasparrudite | Dripstone | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Dripstone
Intrasparrudite | Meniscus | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Meniscus
Intrasparrudite | Drusy | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Drusy
Intrasparrudite | Granular | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Granular
Intrasparrudite | Blocky | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Blocky
Intrasparrudite | Syntaxial | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Syntaxial
Intrasparrudite | Peloidal | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Peloidal
Intrasparrudite | Microcrystalline | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Microcrystalline
Intrasparrudite | Micrite | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Micrite
Intrasparrudite | Cement | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Cement
Intrasparrudite | Calcite | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Calcite
Intrasparrudite | Dolomite | property | Intrasparrudite proprium Metoicoceras gesliniamim Ammonite Dolomite
